cattleman cattlemen
causality causalitys
causeway causeways
causey causeys
cavalryman cavalrymen
caveman cavemen
cay cays
Ceefax Ceefaxs
celerity celeritys
celery celerys
cephalothorax -thoraces
cephalothorax -thoraxes
cerebellum cerebella
cerebrum cerebra
cerography cerographys
cervix cervices
Chablis Chablis
chairman chairwoman
chairman chairwomen
chairman chairmen
chalaza chalazae
chalcedony chalcedonys
chambray chambrays
chamois chamois
chance-medley chance-medleys
chandlery chandlerys
Chantilly Chantillys
chapatti chupatties
chapeau-bras chapeaux-bras
chapman chapmen
char char
Chardonnay Chardonnays
charisma charismata
Charollais Charollais
charpoy charpoys
charwoman charwomen
chassis chassis
chastity chastitys
chteau chteaux
chatterbox chatterboxs
checkerman checkermen
chef-d`oeuvre chefs-d`oeuvre
chela chelae
chemotherapy chemotherapys
chemurgy chemurgys
cherub cherubim
chessman chessmen
chiasma chiasmata
chickenpox chickenpoxs
child children
chilli chillies
chimney chimneys
Chinaman Chinamen
Chinese Chinese
chirography chirographys
chiromancy chiromancys
chiropody chiropodys
chivalry chivalrys
chlamydia chlamydiae
choirboy choirboys
choky chokeys
cholangiography cholangiographys
cholecystography cholecystographys
chopsuey chopsueys
choreography choreographys
choreology choreologys
choriambus choriambi
chorography chorographys
chorology chorologys
Christianity Christianitys
Christology Christologys
chromaticity chromaticitys
chromatography chromatographys
chronometry chronometrys
chrysalis chrysalides
churchman churchmen
churchwoman churchwomen
chutney chutneys
ciborium ciboria
cicerone ciceroni
cilium cilia
cinematography cinematographys
Cingalese Cingalese
cingulum cingula
circumflex circumflexs
cirrus cirri
cisco ciscoes
clansman clanswomen
clansman clanswoman
clansman clansmen
Clarenceux Clarenceuxs
clarity claritys
clay clays
clearway clearways
clerestory clerestorys
clergyman clergymen
climatology climatologys
climax climaxs
cloaca cloacae
clypeus clypei
coachman coachmen
coagulum coagula
coalman coalmen
coalmouse coalmice
coccus cocci
coccyx coccyges
cochlea cochleae
cockney cockneys
coco cocoas
cod cod
codex codices
codicology codicologys
cognoscente cognoscenti
coho cohoes
coley coleys
colloquium colloquia
colloquy -quies
collyrium collyria
colophony colophonys
colossus colossi
colposcopy colposcopys
coma comae
comedo comedones
comfrey comfreys
commis commis
compages compages
compendium compendia
complacency complacencys
complex complexs
complicity complicitys
concerto concerti
conch conches
concha conchae
conchology conchologys
concinnity concinnitys
condottiere condottieri
conductivity conductivitys
conductus conducti
confectionery confectionerys
conflux confluxs
conformity conformitys
congeries congeries
congressman congresswomen
congressman congressmen
congressman congresswoman
conidium conidia
conquistador conquistadores
consistency consistences
consortium consortia
constancy constancys
contiguity contiguitys
continuum continua
contrariety contrarietys
contributory contributorys
contumacy contumacys
contumely contumelys
conversazione conversazioni
convoy convoys
cony coneys
cookie cookies
corduroy corduroys
corf corves
cornetto cornetti
corona coronae
corporeity corporeitys
corps corps
corpus corpora
corrigendum corrigenda
cortex cortices
cosmology cosmologys
coulometry coulometrys
councilman councilwomen
